name,postcode
Sydney Missionary & Bible College,2132
Integricare,2134
Australian Missionary Tidings,4121
"The Greek Orthodox Church & Community Of The ""Holy Apostles"" City Of Newcastle & District Limited",2303
Wangarang Industries Limited,2800
Subud Australia,3168
Bethel Christian School Limited,2770
Pacific Hills Christian Education Limited,2158
Burrum Benevolent Society Inc,4659
St Peters Pre-School Ltd,2350
Chrysalis School For Rudolf Steiner Education Ltd ,2454
Lasercraft Australia Ltd,2250
ISCAST LTD,
Nurses Memorial Centre,3004
Austin Medical Research Foundation,3084
Braemar College Limited,3442
Buddha Sasana Association Of Australia Incorporated,2780
Uca - Yarawalla,3573
Odyssey House Victoria,3121
The Dla Foundation Pty Ltd,3103
St George Family Support Services Inc.,
Alphington Grammar School,3078
Australian Institute Of Company Directors,2000
Victorian Brumby Association Inc,3469
Sydney Sri Ayyappa Swami Centre Incorporated,2161
Denzil Don Kindergarten Inc,3055
2Lm Childrens Christmas Appeal ,2480
Yagoona Baptist Church,2199
Irvinebank School Of Arts And Progress Association Inc,4887
Lancefield Kindergarten Inc,3435
Qcwa Branch Macalister,4416
The Trustee For Bbc Education Building Fund,2614
The Trustee For The Balmain Parish St Johns - Acpt (1023),2000
Russian Ethnic Community Council Of NSW Inc,2134
The Trustee For The Foundation For Imaging Research,3081
The Bunker Cartoon Gallery Inc,2450
Mitchell House Inc,3840
Medi Aid Centre Foundation Ltd,2122
The Corporation Of The Synod Of The Diocese Of Brisbane,4104
Great Lakes Meals On Wheels ,2428
The Family And Disability Society Of Wa Incorporated,6155
Minlaton Hostel For The Aged Inc,5575
THE TRUSTEE FOR BRAND FOUNDATION,3144
Atwell Community Church,6164
Kybybolite Protection Groupincorporated,5262
Warradargee Volunteer Bush Fire Brigade,6518
St Andrews Lutheran Church Corowa,2646
Community Housing Limited,3128
Unyball Pty Ltd,6163
Bits n Bites for Better Inc,6056
The Trustee For Community Foundation For Albury Wodonga Region,2640
Dirranbandi Arts Council Inc,4486
The Corndale Hall Inc.,2480
Koongie Elvira Aboriginal Corporation,6770
Anglican Deaconess Ministries Limited,2000
St Andrews Anglican Church Lane Cove,2066
Dolphin Common Equity Rental Housing Co-Operative Ltd,3198
The Parents & Friends Association Of Kincoppal Rose Bay,2029
Hunter Valley Brumby Association,2425
Little Company Of Mary Health Care Limited,2000
Imam Husain Limited,
Uca - Grahamstown Congregations,2324
Church Of Christ Cairns,4879
Church Of Christ Belmore,2192
Volunteer Fire Brigades Victoria Inc,3151
Frontiers Australia,4216
Parish Of The Nativity,5159
Anglican Parish Of Swanbourne-Mount Claremont,6010
St Vincent's Foundation Pty Limited,2480
Perth Diocesan Trustees,6149
The Trustee For Australian Research Theology Foundation,4066
Living Valley Springs Limited,4571
Packsaddle Bush Fire Brigade,6743
Friends Of The Helmeted Honeyeater Inc,3139
Nyahwest Uniting Church Council,3595
St John's Community Care Brisbane Northside Limited,4018
Christian City Church Joondalup Incorporated,6027
Bankstown Community Resource Group Inc.,
Toora Women Incorporated,2611
The Australian Childrens Music Foundation Limited,2060
Boystown,4064
Musicals Australia Ltd,3161
The Australian Voices Ensemble Limited,4122
Christ Is All Ltd,2484
Clermont Community Housing And Other Services Inc,4721
Seventh-Day Adventist Schools (Victoria) Limited,2076
Christ Church Mortdale,2223
Carrington Centennial Care Limited,2570
Chinese Students Association Incorporated,1240
The Australian Chinese Medical Associa Tion (Sa) Incorporated,5071
Edithburgh Museum Inc,5583
Australian Business And Community Network Limited,2000
Church Of The Nazarene Inala Inc,4077
Cultural Infusion Ltd,3066
Uniting Church Australia - Jannali,2226
Access Aid International Ltd.,3187
